CandidateID,crpId,firstName,nickName,middleName,lastName,suffix,birthDate,birthPlace,pronunciation,gender,family,photo,homeCity,homeState,education,profession,political,religion,congMembership,orgMembership,specialMsg
1,,Mike,,,Milligan,,,,,Male,,,,AK,,,Candidate  Alaska State Senate  District R  2004,,,,
2,,Jed,,,Whittaker,,,,,Male,,http://static.votesmart.org/canphoto/2.jpg,,AK,,,Candidate  Alaska State Senate  District G  2000,,,,
3,,John,,S.,Devens,,,,,Male,,,,AK,,,,,,,
4,,Malcolm,,S.,Brassell,,,,,Male,,,,AL,,,,,,,
5,,John,,R.,Garrett,,,,,Male,,,,AL,,,,,,,
6,,Jim,,,Bennett,,,,,Male,Wife: Andrea; 2 Children,http://static.votesmart.org/canphoto/6.jpg,,AL,MA  Higher Education Administration  University of Alabama  1980  BS  Biology  Jacksonville State University  1962,Public Affairs Director  Alabama Labor Council  1971-1976 Reporter  Birmingham Post Herald,Secretary of State  State of Alabama  2013-present Appointed by Secretary Bentley  Secretary of State  State of Alabama  July 10  2013 Commissioner  Department of Labor  State of Alabama  2003-2012 Secretary of State  State of Alabama  1993-2002 Appointed  Secretary of State  State of Alabama  1993 Senator  Alabama State Senate  1983-1993 Representative  Alabama State House of Representatives  1978-1983,Methodist,Chair  Governor's Commission on Constitutional Reform,President  National Association of Secretaries of State  1999-2000 Trustee  Jacksonville State University,
7,,Lucy,,,Baxley,,12/21/1937,Pansey  AL,,Female,Husband: Jim Smith; 2 Children: Louis  Becky Nichols,,Montgomery,AL,Attended  Auburn University  Montgomery,Realtor  Johnston  Rast and Hays  1979-1995 Administrator  Legal Division  Alabama Highway Department  1976-1978 Executive Assistant  Alabama Attorney General  1970-1976 Executive Assistant  Houston County District Attorney  1964-1970,Candidate  Alabama State Public Service Commissioner  President  2012 Public Service Commissioner  State of Alabama  2008-2012 Candidate  Alabama Gubernatorial  2006 Treasurer  State of Alabama  1994-2002 Former Lieutenant Governor  State of Alabama,Methodist,Member  Alabama Criminal Justice Advisory Commission Member  Alabama Historical Commission Member  Corrections Institutions Finance Authority Member  Judicial System Study Commission,Member  Alabama Film Commission Member  Alabama Legislative Council Member  Women's Philanthropy Board  Auburn University  Board Member  Boys and Girls Clubs  South Central Alabama Member  Advisory Board  Children's Literacy Guild of Alabama Member  Board of Trustees  Department of Mental Health and Mental Retardation Board Member  Frazer Memorial United Methodist Church Member  Executive Committee  National Association of Lieutenant Governors,
8,,Mark,,,Bodenhausen,,,,,Male,,,,AL,,,,,,,
9,,Richard,,C.,Boone,,,,,Male,,,,AL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
